Feature,R_squared,Adj_R_squared,F_statistic,F_pvalue,Neurodev_coef,Neurodev_pvalue,Genetic_coef,Genetic_pvalue,Age_coef,Age_pvalue,Sex_coef,Sex_pvalue,N_samples
EEG_relative_Alpha_WholeBrain,0.0307369323459414,,1.29224978738599,0.275227068393514,0.0398066752883535,0.758424703782815,0.283544184724756,0.0530452015261014,0.00544603276129183,0.123820103486886,0.0131985397837215,0.901924653607317,168
EEG_relative_Beta_Frontal,0.119604312050536,,5.53600589231772,0.00033309415806265,0.152480731982613,0.217427277407445,-0.0692264749765103,0.618303934572172,0.011317385206122,0.000928887127496392,-0.146233760949684,0.153254008108787,168
EEG_relative_Beta_Central,0.190134096944624,,9.56697203976952,5.66298777620995e-07,0.0492492628526271,0.67725008840612,-0.0956132012724303,0.473238372807264,0.0161135281840674,1.42205620590197e-06,-0.0984552997995828,0.315324988790933,168
EEG_relative_Beta_temporal_r,0.171124726096272,,8.41300592256907,3.39948271466567e-06,0.0660303950786375,0.581295667253034,-0.0668801597930601,0.619820804289363,0.0158495846470734,2.64035829133924e-06,-0.0587945548108749,0.552974920793244,168
EEG_relative_Beta_temporal_l,0.110527302243077,,5.06366027621031,0.000715574592257749,0.157192930190516,0.205922636717383,-0.000535306287088595,0.996940434835222,0.0129027833328692,0.00018534034540596,-0.0438147609746801,0.669431261117076,168
EEG_relative_Beta_parietal_r,0.18372446297897,,9.17186847680837,1.04255494415086e-06,0.00857917228680847,0.942412272663092,-0.146187047469885,0.275212212681109,0.0144626805202966,1.41960395518836e-05,-0.160449821447654,0.103984985103228,168
EEG_relative_Beta_parietal_l,0.167428592082077,,8.19475069941055,4.78689342206149e-06,0.00941447315359786,0.937436734367357,-0.0835736655925713,0.536294374509637,0.0145498173198942,1.52571015437086e-05,-0.157073513819712,0.114944338118076,168
EEG_relative_Beta_Occipital,0.163208209272446,,7.94789647980371,7.05829234111373e-06,-0.0306188010127499,0.799022217318112,-0.112836160338135,0.405151544487332,0.0145809816295462,1.53673205505189e-05,-0.101920129073975,0.306530629191627,168
EEG_relative_Beta_WholeBrain,0.177387173078753,,8.78727764313264,1.894777102629e-06,0.0631592882642952,0.596433115322889,-0.0896640007054237,0.504495754461507,0.0152774377988723,5.26160245417628e-06,-0.122162301220801,0.216750329912083,168
EEG_relative_LowGamma_Frontal,0.144410894049651,,6.87800240979781,3.85292930741104e-05,0.234611076982566,0.0550280132985093,-0.0210606726256135,0.877752866361714,0.0114771168806846,0.000666439211857384,-0.220993866212073,0.0292454786043739,168
EEG_relative_LowGamma_Central,0.168766854422716,,8.2735503923505,4.22996654680508e-06,0.233095977780328,0.0531357301952358,-0.0283521709327399,0.833606972194389,0.0143586674983873,1.91597232763741e-05,-0.131491190234893,0.186109099327749,168
EEG_relative_LowGamma_temporal_r,0.193762470378805,,9.7934174208513,3.99786834998524e-07,0.251705481748845,0.0341846043411338,0.0218956746346759,0.869150325239401,0.0166166339442226,6.62380481575298e-07,-0.100791107526893,0.302935013486735,168
EEG_relative_LowGamma_temporal_l,0.106801236760812,,4.87254413812664,0.000975518396241661,0.269592913712924,0.031191531116846,0.0391812796961527,0.779438504711435,0.0117415659090917,0.000656326073128488,-0.057527691010536,0.57598150667947,168
EEG_relative_LowGamma_parietal_r,0.149594650771461,,7.16832511045127,2.42564421224006e-05,0.192197098955396,0.114229695589742,-0.0443505317202031,0.745284876976142,0.0119729403131368,0.00037799706852315,-0.22179692189716,0.0281973561841955,168
EEG_relative_LowGamma_parietal_l,0.0936011986651353,,4.20813535938815,0.00286721310460893,0.127018232155852,0.310887711936542,-0.0603131160234263,0.668743842752086,0.0102223560182301,0.00309853035832686,-0.121705072529371,0.240952787987644,168
EEG_relative_LowGamma_Occipital,0.156702010521706,,7.57218327143169,1.27770034938083e-05,0.208888242457566,0.0849620454434503,-0.0935322385906929,0.491700916402324,0.0123639252414015,0.000232075081188388,-0.161284496168566,0.107827133506929,168
EEG_relative_LowGamma_WholeBrain,0.17300712327715,,8.52491051855394,2.85347071679784e-06,0.243938270854853,0.0425824815478069,-0.0257198235839527,0.848475953762527,0.0140430077522206,2.72167320649608e-05,-0.165698618044036,0.0953654078838226,168
EEG_relative_HighGamma_Frontal,0.156454737136227,,7.55801830557003,1.3066824785123e-05,0.211309445971544,0.0814869658028816,-0.0336648723858985,0.804436905209798,0.012061727978569,0.00032525375196113,-0.236686152826405,0.0188337491734145,168
EEG_relative_HighGamma_Central,0.146136839672486,,6.97427467695135,3.30427284385208e-05,0.183385358781454,0.132444749479413,-0.0459433531219374,0.736988323146546,0.0135434870059732,6.53699459378654e-05,-0.111618118390024,0.267748325442795,168
EEG_relative_HighGamma_temporal_r,0.165973874982361,,8.10938075277698,5.47411517811632e-06,0.213918708640106,0.0761673945880279,-0.0151504130663958,0.910763489942802,0.0152920176043327,5.93306704876895e-06,-0.067915709942096,0.494536321514524,168
EEG_relative_HighGamma_temporal_l,0.126856443746532,,5.92044692496196,0.00017908031273291,0.23169561807101,0.0606367146109195,0.0163679485190762,0.905799302246281,0.013020997113821,0.000142038932397837,-0.0894292961522859,0.379560145337141,168
EEG_relative_HighGamma_parietal_r,0.117187983458422,,5.40931731382453,0.000408834441328245,0.145365151151874,0.240199910923857,-0.0670212373026913,0.629994354342506,0.0103523834031258,0.00242101937231221,-0.198413156680405,0.0536015258015146,168
EEG_relative_HighGamma_parietal_l,0.086497377335466,,3.85851998556838,0.00505381619075079,0.117160612749524,0.351696598463501,-0.0776703747701285,0.583168768722896,0.00990960409244267,0.00425406218258417,-0.0880250795176058,0.397741427533219,168
