$participant_id
x <character> 
# total N=210 valid N=210 mean=105.50 sd=60.77

Value                | N | Raw % | Valid % | Cum. %
 7.56 | 1 |  0.48 |    0.48 |  22.86
 7.62 | 1 |  0.48 |    0.48 |  23.33
 7.70 | 1 |  0.48 |    0.48 |  23.81
 7.71 | 1 |  0.48 |    0.48 |  24.29
 7.77 | 1 |  0.48 |    0.48 |  24.76
 7.78 | 1 |  0.48 |    0.48 |  25.24
 7.78 | 1 |  0.48 |    0.48 |  25.71
 7.80 | 1 |  0.48 |    0.48 |  26.19
 7.84 | 1 |  0.48 |    0.48 |  26.67
 7.94 | 1 |  0.48 |    0.48 |  27.14
 7.99 | 1 |  0.48 |    0.48 |  27.62
 8.07 | 1 |  0.48 |    0.48 |  28.10
 8.20 | 1 |  0.48 |    0.48 |  28.57
 8.24 | 1 |  0.48 |    0.48 |  29.05
 8.27 | 1 |  0.48 |    0.48 |  29.52
 8.29 | 1 |  0.48 |    0.48 |  30.00
 8.31 | 1 |  0.48 |    0.48 |  30.48
 8.32 | 1 |  0.48 |    0.48 |  30.95
 8.34 | 1 |  0.48 |    0.48 |  31.43
 8.36 | 1 |  0.48 |    0.48 |  31.90
 8.37 | 1 |  0.48 |    0.48 |  32.38
 8.39 | 1 |  0.48 |    0.48 |  32.86
 8.43 | 1 |  0.48 |    0.48 |  33.33
 8.44 | 1 |  0.48 |    0.48 |  33.81
